transaction_id,user_id,timestamp,order_value,customer_segment,ab_test_group
1,7271,2025-01-07 09:44:00,33.385115164424,Standard,Control
2,861,2025-04-09 14:39:00,21.970891426955404,Standard,Test
3,5391,2025-05-24 14:57:00,103.63055364551063,High-Value (Power),Test
4,13419,2025-01-31 14:07:00,23.565086416289525,High-Value (Power),Control
5,5192,2025-02-02 12:04:00,44.90814131231679,Standard,Control
6,11965,2025-05-25 10:10:00,12.686781991256426,Standard,Test
7,11285,2025-02-23 22:13:00,7.661788852169172,Standard,Test
8,5735,2025-05-15 07:17:00,10.12239646452582,Standard,Test
9,6266,2025-05-19 09:53:00,16.004889990627866,Standard,Test
10,467,2025-02-26 19:57:00,52.88385010636353,Standard,Control
11,13527,2025-03-11 05:21:00,17.475002484047263,Standard,Control
12,4427,2025-04-17 20:09:00,60.456953059009166,Standard,Test
13,5579,2025-01-10 16:48:00,67.23598423678858,Standard,Test
14,14424,2025-03-15 05:28:00,71.64765005889696,Standard,Test
15,11637,2025-03-03 23:08:00,144.0342591759247,Standard,Control
16,11364,2025-02-11 00:23:00,48.27213760214918,Standard,Test
17,11112,2025-01-05 22:58:00,184.5504401184589,High-Value (Power),Control
18,8323,2025-04-09 22:36:00,19.79707508376755,Standard,Test
19,1686,2025-04-11 10:31:00,5.206586282155421,Standard,Test
20,770,2025-03-06 23:20:00,150.08751148189668,High-Value (Power),Control
21,10584,2025-03-31 02:56:00,11.083637810368208,Standard,Test
22,13804,2025-04-25 00:31:00,10.82079209148815,Standard,Test
23,6950,2025-04-22 15:45:00,13.043820514178242,Standard,Control
24,2434,2025-02-21 13:10:00,55.63052248833524,Standard,Test
25,5312,2025-01-30 01:09:00,71.73798506318253,Standard,Control
26,5052,2025-03-12 02:37:00,37.66531471105139,Standard,Test
27,6421,2025-02-06 05:25:00,13.645557771762778,Standard,Test
28,1185,2025-02-04 07:39:00,92.41356817264781,High-Value (Power),Control
29,4556,2025-03-09 06:55:00,358.2756312504516,High-Value (Power),Test
30,3386,2025-02-28 14:45:00,26.783256237760487,Standard,Control
31,12310,2025-04-22 15:11:00,22.16485734885389,Standard,Control
32,6397,2025-04-29 14:42:00,97.69917984569736,Standard,Control
33,13036,2025-04-15 09:37:00,205.32793581613046,Standard,Test
34,11097,2025-01-06 21:33:00,25.4655007076245,Standard,Control
35,8667,2025-04-16 11:05:00,8.994715976703613,Standard,Control
36,9275,2025-01-18 04:19:00,35.23134714895213,Standard,Control
37,2559,2025-02-26 10:30:00,88.49045124731586,High-Value (Power),Control
38,7850,2025-02-22 18:45:00,108.20798757854074,Standard,Test
39,2048,2025-01-25 20:03:00,11.879896640312488,Standard,Test
40,2748,2025-05-24 05:49:00,15.889497036067397,Standard,Control
41,9168,2025-05-07 19:07:00,24.628791169013148,Standard,Control
42,9999,2025-02-05 05:27:00,57.672507504542565,Standard,Control
43,190,2025-02-22 14:06:00,14.202309113240977,Standard,Test
44,2735,2025-04-08 10:58:00,273.4137663396767,High-Value (Power),Test
45,3006,2025-02-13 00:29:00,78.23767620274087,High-Value (Power),Control
46,4659,2025-03-15 02:51:00,9.863684003084495,Standard,Test
47,1900,2025-04-27 15:22:00,16.82311738519683,Standard,Test
48,7735,2025-03-25 16:24:00,11.094619263273701,Standard,Control
49,1268,2025-03-14 21:53:00,11.782673918739658,Standard,Control
50,1529,2025-05-07 01:24:00,154.69592841561104,Standard,Test
